Id;Tipo;Objeto_Pai;Tipo_Objeto_Pai;Descricao_Breve;Ref_Legado_Arquivo;Ref_Legado_Linhas;Desc_Abordagem;Ref_Doc_Abordagem;Ref_Doc_Linhas;Status_Documentacao;Status_Implementacao;Status_Teste_Unitario;Ref_Doc_AsIs;Ref_Doc_AsIs_Linhas
OBJ-0105;OBJETO;TELA-0101;TELA;HORA - Hora do sistema;_LEGADO/vgfna.esf;189;Migrado de campo de tela 3270 para componente DisplayField React TypeScript - Exibição somente leitura de hora formatada - Atualização em tempo real via JavaScript - Formatação usando dateUtils - Estilização consistente com design system;frontend_vgfna/docs/COMPONENTES.md;80-95;OK;NOK;NA;01_TELAS_INTERFACE_VGFNA.md;115
OBJ-0106;OBJETO;TELA-0101;TELA;GRUFUC - Grupo de funcoes;_LEGADO/vgfna.esf;207;Migrado de campo de tela 3270 para componente DisplayField React TypeScript - Exibição somente leitura do grupo de funções - Obtida via API do backend - Estilização consistente com design system - Acessibilidade WCAG;frontend_vgfna/docs/COMPONENTES.md;80-95;OK;NOK;NA;01_TELAS_INTERFACE_VGFNA.md;116
OBJ-0107;OBJETO;TELA-0101;TELA;NUM_APOLICE - Numero apolice (foco inicial);_LEGADO/vgfna.esf;228;Migrado de campo de entrada 3270 para componente NumberInput React TypeScript - Validação client-side com regex - Máscara de entrada - Feedback visual de validação - Integração com formulário controlado - Acessibilidade ARIA;frontend_vgfna/docs/COMPONENTES.md;150-165;OK;NOK;NA;01_TELAS_INTERFACE_VGFNA.md;117
OBJ-0108;OBJETO;TELA-0101;TELA;COD_SUBGRUPO - Codigo subgrupo;_LEGADO/vgfna.esf;249;Migrado de campo de entrada 3270 para componente NumberInput React TypeScript - Validação client-side numérica - Máscara de entrada - Feedback visual de validação - Integração com formulário controlado - Acessibilidade ARIA;frontend_vgfna/docs/COMPONENTES.md;150-165;OK;NOK;NA;01_TELAS_INTERFACE_VGFNA.md;118
OBJ-0109;OBJETO;TELA-0101;TELA;EZEMSG - Mensagem sistema;_LEGADO/vgfna.esf;269;"Migrado de área de mensagem 3270 para componente MessageDisplay React TypeScript - Exibição de mensagens de sucesso/erro/aviso - Tipos visuais distintos (success/error/warning/info) - Auto-dismiss configurável - Acessibilidade com role=""alert"" - Estilização com CSS Modules";frontend_vgfna/docs/COMPONENTES.md;200-215;OK;NOK;NA;01_TELAS_INTERFACE_VGFNA.md;119
FTELA-0101;FUNCAO_TELA;TELA-0101;TELA;VGFNP005 - Apresenta tela M010;_LEGADO/vgfna.esf;121;Migrado de função CONVERSE COBOL para página React TypeScript ConsultaApolicePage - Roteamento via React Router - Integração com hook useConsultaApolice - Gerenciamento de estado com useState/useEffect - Tratamento de erros e loading states - Validação de formulário - Integração com API REST;frontend_vgfna/docs/MAPEAMENTO_TELAS.md;25-40;OK;NOK;NOK;01_TELAS_INTERFACE_VGFNA.md;28, 419
FTELA-0102;FUNCAO_TELA;TELA-0102;TELA;VGFNP025 - Apresenta tela M020;_LEGADO/vgfna.esf;288;Migrado de função CONVERSE COBOL para página React TypeScript AlteracaoSubgrupoPage - Roteamento via React Router - Integração com hook useAlteracaoSubgrupo - Gerenciamento de estado com useState/useEffect - Tratamento de erros e loading states - Validação de formulário - Integração com API REST;frontend_vgfna/docs/MAPEAMENTO_TELAS.md;45-60;OK;NOK;NOK;01_TELAS_INTERFACE_VGFNA.md;29, 420
FTELA-0103;FUNCAO_TELA;TELA-0103;TELA;VGFNP035 - Apresenta tela M030;_LEGADO/vgfna.esf;739;Migrado de função CONVERSE COBOL para página React TypeScript AlteracaoTermoAdesaoPage - Roteamento via React Router - Integração com hook useAlteracaoTermoAdesao - Gerenciamento de estado com useState/useEffect - Tratamento de erros e loading states - Validação de formulário - Integração com API REST;frontend_vgfna/docs/MAPEAMENTO_TELAS.md;65-80;OK;NOK;NOK;01_TELAS_INTERFACE_VGFNA.md;30, 421
METOD-0101;METODO;RAIZ;SISTEMA;VGFNP000 - Processo inicial - inicializacao;_LEGADO/vgfna.esf;2861-2881;Migrado de função COBOL para inicialização no Program.cs do backend .NET Core 8 - Configuração de serviços via Dependency Injection - Configuração de logging (ILogger) - Configuração de CORS - Configuração de Swagger/OpenAPI - Configuração de connection strings - Middleware pipeline - Tratamento global de exceções;backend_vgfna/05_APPLICATION_SERVICES.md;25-45;OK;NOK;NOK;03_FLUXO_EXECUCAO_VGFNA.md;97-160
METOD-0102;METODO;RAIZ;SISTEMA;VGFNP002 - Processo principal - loop controle telas;_LEGADO/vgfna.esf;2918-2951;Migrado de loop principal COBOL para AlteracaoDadosBasicosService no backend .NET Core - Padrão Service Layer - Orquestração de operações - Tratamento de exceções padronizado - Retorno AppResponse<T> - Logging estruturado - Validação de entrada - Integração com ViewModels e Repositories;backend_vgfna/05_APPLICATION_SERVICES.md;50-120;OK;NOK;NOK;03_FLUXO_EXECUCAO_VGFNA.md;163-239
METOD-0103;METODO;RAIZ;SISTEMA;VGFNP001 - Inquiry consulta V0SISTEMA;_LEGADO/vgfna.esf;2883-2916;Migrado de INQUIRY DB2 COBOL para SistemaRepository com Dapper no backend .NET Core - Padrão Repository Pattern - Mapeamento DB2 para SQL Server - Query parametrizada para segurança - Tratamento de exceções - Retorno assíncrono (async/await) - Logging de operações - Connection management via DI;backend_vgfna/03_INFRASTRUCTURE_LAYER.md;27-58;OK;NOK;NOK;03_FLUXO_EXECUCAO_VGFNA.md;97-160
METOD-0104;METODO;RAIZ;SISTEMA;VGFNS002 - Valida e processa tela M010;_LEGADO/vgfna.esf;3100-3300;Migrado de função de validação COBOL para ProcessarConsultaM010ViewModel no backend .NET Core - Padrão ViewModel Pattern - Validação de regras de negócio - Integração com Repositories (Apolice, Cliente, Subgrupo) - Tratamento de exceções de negócio - Logging de auditoria via EventRepository - Retorno de DTOs tipados - Validações condicionais;backend_vgfna/04_BUSINESS_LOGIC.md;26-100;OK;NOK;NOK;03_FLUXO_EXECUCAO_VGFNA.md;242-310
METOD-0105;METODO;RAIZ;SISTEMA;VGFNP011 - Inquiry V0APOLICE por numero;_LEGADO/vgfna.esf;2994-3020;Migrado de INQUIRY DB2 COBOL para ApoliceRepository com Dapper no backend .NET Core - Padrão Repository Pattern - Mapeamento DB2 para SQL Server - Query SELECT parametrizada - Retorno assíncrono (async/await) - Tratamento de exceções - Logging de operações - Connection management via DI - Mapeamento para entidade Apolice;backend_vgfna/03_INFRASTRUCTURE_LAYER.md;60-110;OK;NOK;NOK;03_FLUXO_EXECUCAO_VGFNA.md;435-440
METOD-0106;METODO;RAIZ;SISTEMA;VGFNP012 - Inquiry V0CLIENTE por código;_LEGADO/vgfna.esf;3022-3046;Migrado de INQUIRY DB2 COBOL para ClienteRepository com Dapper no backend .NET Core - Padrão Repository Pattern - Mapeamento DB2 para SQL Server - Query SELECT parametrizada - Retorno assíncrono (async/await) - Tratamento de exceções - Logging de operações - Connection management via DI - Mapeamento para entidade Cliente;backend_vgfna/03_INFRASTRUCTURE_LAYER.md;200-250;OK;NOK;NOK;03_FLUXO_EXECUCAO_VGFNA.md;440-443
METOD-0107;METODO;RAIZ;SISTEMA;VGFNS003 - Valida e processa tela M020;_LEGADO/vgfna.esf;3400-3600;Migrado de função de validação COBOL para ProcessarAlteracaoM020ViewModel no backend .NET Core - Padrão ViewModel Pattern - Validação de regras de negócio complexas - Integração com Repositories (Subgrupo, Apolice) - Validações condicionais (TIPO_COBRANCA, TIPO_APOLICE) - Tratamento de exceções de negócio - Logging de auditoria via EventRepository - Retorno de DTOs tipados - Proteção de campos;backend_vgfna/04_BUSINESS_LOGIC.md;102-200;OK;NOK;NOK;03_FLUXO_EXECUCAO_VGFNA.md;313-335
METOD-0108;METODO;RAIZ;SISTEMA;VGFNP014 - Inquiry V0SUBGRUPO por chave;_LEGADO/vgfna.esf;3048-3073;Migrado de INQUIRY DB2 COBOL para SubgrupoRepository com Dapper no backend .NET Core - Padrão Repository Pattern - Mapeamento DB2 para SQL Server - Query SELECT com chave composta (NUM_APOLICE, COD_SUBGRUPO) - Retorno assíncrono (async/await) - Tratamento de exceções - Logging de operações - Connection management via DI - Mapeamento para entidade Subgrupo;backend_vgfna/03_INFRASTRUCTURE_LAYER.md;112-160;OK;NOK;NOK;03_FLUXO_EXECUCAO_VGFNA.md;440-443
METOD-0109;METODO;RAIZ;SISTEMA;VGFNS004 - Valida e processa tela M030;_LEGADO/vgfna.esf;3700-3900;Migrado de função de validação COBOL para ProcessarAlteracaoM030ViewModel no backend .NET Core - Padrão ViewModel Pattern - Validação de regras de negócio - Integração com Repositories (TermoAdesao) - Tratamento de exceções de negócio - Logging de auditoria via EventRepository - Retorno de DTOs tipados - Validações de agências bancárias;backend_vgfna/04_BUSINESS_LOGIC.md;250-350;OK;NOK;NOK;03_FLUXO_EXECUCAO_VGFNA.md;338-355
METOD-0110;METODO;RAIZ;SISTEMA;VGFNP040 - Update V0SUBGRUPO (período faturamento);_LEGADO/vgfna.esf;3210-3232;Migrado de UPDATE DB2 COBOL para SubgrupoRepository.Update() com Dapper no backend .NET Core - Padrão Repository Pattern - Mapeamento DB2 para SQL Server - Query UPDATE parametrizada - Transação implícita - Campos de auditoria (DataAlteracao, UsuarioAlteracao) - Retorno assíncrono (async/await) - Tratamento de exceções - Logging de operações;backend_vgfna/03_INFRASTRUCTURE_LAYER.md;161-200;OK;NOK;NOK;03_FLUXO_EXECUCAO_VGFNA.md;71, 461
METOD-0111;METODO;RAIZ;SISTEMA;VGFNP019 - Inquiry V0TERMOADESAO por chave composta;_LEGADO/vgfna.esf;3132-3170;Migrado de INQUIRY DB2 COBOL para TermoAdesaoRepository com Dapper no backend .NET Core - Padrão Repository Pattern - Mapeamento DB2 para SQL Server - Query SELECT com chave composta (COD_SUBGRUPO, NUM_APOLICE) - Retorno assíncrono (async/await) - Tratamento de exceções - Logging de operações - Connection management via DI - Mapeamento para entidade TermoAdesao;backend_vgfna/03_INFRASTRUCTURE_LAYER.md;300-350;OK;NOK;NOK;03_FLUXO_EXECUCAO_VGFNA.md;440-443
METOD-0112;METODO;RAIZ;SISTEMA;VGFNP048 - Update V0TERMOADESAO (agências);_LEGADO/vgfna.esf;3337-3359;Migrado de UPDATE DB2 COBOL para TermoAdesaoRepository.Update() com Dapper no backend .NET Core - Padrão Repository Pattern - Mapeamento DB2 para SQL Server - Query UPDATE parametrizada para agências (COD_AGENCIA_OP, COD_AGENCIA_VEN) - Transação implícita - Campos de auditoria - Retorno assíncrono (async/await) - Tratamento de exceções - Logging de operações;backend_vgfna/03_INFRASTRUCTURE_LAYER.md;351-400;OK;NOK;NOK;03_FLUXO_EXECUCAO_VGFNA.md;76, 465
METOD-0113;METODO;RAIZ;SISTEMA;VGFNP010 - Inquiry V1FONTE por código;_LEGADO/vgfna.esf;2966-2992;Migrado de INQUIRY DB2 COBOL para FonteRepository com Dapper no backend .NET Core - Padrão Repository Pattern - Mapeamento DB2 para SQL Server - Query SELECT parametrizada por código FONTE - Retorno assíncrono (async/await) - Tratamento de exceções - Logging de operações - Connection management via DI - Mapeamento para entidade FonteProdutora;backend_vgfna/03_INFRASTRUCTURE_LAYER.md;450-500;OK;NOK;NOK;03_FLUXO_EXECUCAO_VGFNA.md;440-443
REGRA-0101;REGRA;METOD-0104;METODO;IF EZEAID=PF3 - Testa tecla F3 sair;_LEGADO/vgfna.esf;3100;Migrada de condicional COBOL para validação de navegação no frontend React - Tratamento de evento de teclado - Navegação programática via React Router useNavigate - Limpeza de estado do formulário - Feedback visual ao usuário - Acessibilidade com handlers de teclado;backend_vgfna/04_BUSINESS_LOGIC.md;53-59;OK;NOK;NOK;04_FUNCOES_REGRAS_NEGOCIO_VGFNA.md;173-201
REGRA-0102;REGRA;METOD-0104;METODO;CALL ZZ01SGPS3 - Funcao sair;_LEGADO/vgfna.esf;3101;Migrada de chamada de função COBOL para navegação programática no frontend React - Hook useNavigate do React Router - Limpeza de estado e contexto - Redirecionamento para tela inicial ou logout - Tratamento de estado não salvo - Confirmação opcional antes de sair;frontend_vgfna/docs/ESPECIFICACAO_NAVEGACAO_ROTEAMENTO.md;80-95;OK;NOK;NOK;04_FUNCOES_REGRAS_NEGOCIO_VGFNA.md;173-201
REGRA-0103;REGRA;METOD-0104;METODO;IF EZEAID=PF4 - Testa tecla F4 consulta;_LEGADO/vgfna.esf;3105;Migrada de condicional COBOL para ação de botão Consultar no frontend React - Handler onClick no componente Button - Validação de formulário antes de submeter - Chamada assíncrona à API via hook useConsultaApolice - Tratamento de loading e erro - Atualização de estado com resultado - Feedback visual ao usuário;backend_vgfna/04_BUSINESS_LOGIC.md;51-98;OK;NOK;NOK;01_TELAS_INTERFACE_VGFNA.md;127
REGRA-0104;REGRA;METOD-0104;METODO;IF EZEAID=PF10 - Testa tecla F10 inclusão;_LEGADO/vgfna.esf;3110;Migrada de condicional COBOL para ação de botão Incluir no frontend React - Handler onClick no componente Button - Validação de formulário - Chamada assíncrona à API - Tratamento de loading e erro - Navegação para próxima tela após sucesso - Feedback visual ao usuário;frontend_vgfna/docs/ESPECIFICACAO_FORMULARIOS_VALIDACOES.md;120-135;OK;NOK;NOK;01_TELAS_INTERFACE_VGFNA.md;128
REGRA-0105;REGRA;METOD-0104;METODO;IF EZEAID=PF12 - Testa tecla F12 cancelar;_LEGADO/vgfna.esf;3115;Migrada de condicional COBOL para ação de botão Cancelar no frontend React - Handler onClick no componente Button - Limpeza de estado do formulário - Reset de campos - Navegação de volta ou fechamento de modal - Tratamento de estado não salvo - Feedback visual ao usuário;frontend_vgfna/docs/ESPECIFICACAO_FORMULARIOS_VALIDACOES.md;140-155;OK;NOK;NOK;01_TELAS_INTERFACE_VGFNA.md;129
REGRA-0106;REGRA;METOD-0104;METODO;CALL ZZ01SGPS12 - Funcao cancelar;_LEGADO/vgfna.esf;3116;Migrada de chamada de função COBOL para função de cancelamento no frontend React - Função utilitária de reset de formulário - Limpeza de estado via useState setter - Reset de erros de validação - Navegação programática via useNavigate - Tratamento de confirmação se necessário;frontend_vgfna/docs/ESPECIFICACAO_FORMULARIOS_VALIDACOES.md;140-155;OK;NOK;NOK;01_TELAS_INTERFACE_VGFNA.md;129
REGRA-0107;REGRA;METOD-0104;METODO;IF EZEAID NOT ENTER - Valida tecla invalida;_LEGADO/vgfna.esf;3120;Migrada de validação COBOL para validação de eventos de teclado no frontend React - Handler onKeyDown nos campos de formulário - Validação de teclas permitidas - Bloqueio de teclas inválidas - Mensagem de erro contextual - Acessibilidade com ARIA - Feedback visual imediato;frontend_vgfna/docs/ESPECIFICACAO_FORMULARIOS_VALIDACOES.md;80-100;OK;NOK;NOK;01_TELAS_INTERFACE_VGFNA.md;142
REGRA-0108;REGRA;METOD-0104;METODO;IF NUM_APOLICE<>0 - Verifica apolice informada;_LEGADO/vgfna.esf;3125;Migrada de validação COBOL para validação obrigatória no ProcessarConsultaM010ViewModel backend .NET Core - Validação de campo obrigatório - Verificação de valor não nulo e não vazio - Verificação de valor diferente de zero - Exceção de negócio InvalidOperationException com mensagem clara - Logging da validação - Retorno de erro padronizado;backend_vgfna/04_BUSINESS_LOGIC.md;53-59;OK;NOK;NOK;04_FUNCOES_REGRAS_NEGOCIO_VGFNA.md;229-293
REGRA-0109;REGRA;METOD-0104;METODO;CALL VGFNP011 - Busca apolice no banco;_LEGADO/vgfna.esf;3130;Migrada de chamada COBOL para chamada ao ApoliceRepository no ProcessarConsultaM010ViewModel backend .NET Core - Injeção de dependência do repository - Chamada assíncrona GetByNumero - Tratamento de apólice não encontrada - Exceção de negócio com mensagem clara - Logging da operação - Retorno de entidade tipada;backend_vgfna/04_BUSINESS_LOGIC.md;61-69;OK;NOK;NOK;01_TELAS_INTERFACE_VGFNA.md;152
REGRA-0110;REGRA;METOD-0107;METODO;IF TIPO_COBRANCA=2 - Valida tipo cobranca fatura;_LEGADO/vgfna.esf;3200;Migrada de validação condicional COBOL para validação condicional no ProcessarAlteracaoM020ViewModel backend .NET Core - Validação if (request.TipoCobranca == 2) - Lógica de negócio condicional - Validações aninhadas quando necessário - Exceções de negócio específicas - Logging de validações - Documentação inline da regra;backend_vgfna/04_BUSINESS_LOGIC.md;143-148;OK;NOK;NOK;04_FUNCOES_REGRAS_NEGOCIO_VGFNA.md;311-368
REGRA-0111;REGRA;METOD-0107;METODO;IF TIPO_COBRANCA=2 - PERI_FATURAMENTO obrigatorio;_LEGADO/vgfna.esf;3205;Migrada de validação condicional COBOL para validação obrigatória condicional no ProcessarAlteracaoM020ViewModel backend .NET Core - Validação condicional if (request.TipoCobranca == 2 && !request.PeriodoFaturamento.HasValue) - Exceção InvalidOperationException com mensagem específica - Logging da validação - Documentação inline da regra de negócio - Retorno de erro padronizado;backend_vgfna/04_BUSINESS_LOGIC.md;149-155;OK;NOK;NOK;04_FUNCOES_REGRAS_NEGOCIO_VGFNA.md;311-368
REGRA-0112;REGRA;METOD-0107;METODO;IF TIPO_COBRANCA=2 - FORMA_FATURAMENTO obrigatorio;_LEGADO/vgfna.esf;3210;Migrada de validação condicional COBOL para validação obrigatória condicional no ProcessarAlteracaoM020ViewModel backend .NET Core - Validação condicional if (request.TipoCobranca == 2 && !request.FormaFaturamento.HasValue) - Exceção InvalidOperationException com mensagem específica - Logging da validação - Documentação inline da regra de negócio - Retorno de erro padronizado;backend_vgfna/04_BUSINESS_LOGIC.md;156-162;OK;NOK;NOK;04_FUNCOES_REGRAS_NEGOCIO_VGFNA.md;311-368
REGRA-0113;REGRA;METOD-0107;METODO;IF TIPO_APOLICE=2 - VALIDAR_MATRICULA apenas 'S';_LEGADO/vgfna.esf;3220;Migrada de validação COBOL para validação de valores permitidos no ProcessarAlteracaoM020ViewModel backend .NET Core - Validação condicional if (request.TipoApolice == 2 && request.ValidarMatricula != 'S') - Exceção InvalidOperationException com mensagem específica - Validação de valores permitidos - Logging da validação - Documentação inline da regra - Retorno de erro padronizado;backend_vgfna/04_BUSINESS_LOGIC.md;163-170;OK;NOK;NOK;04_FUNCOES_REGRAS_NEGOCIO_VGFNA.md;371-408
REGRA-0114;REGRA;METOD-0107;METODO;IF TIPO_FATUR=1 OR 3 AND TIPO_APOLICE=2 - Protege campos;_LEGADO/vgfna.esf;3225;Migrada de lógica de proteção COBOL para lógica de proteção de campos no ProcessarAlteracaoM020ViewModel backend .NET Core - Validação condicional complexa if ((request.TipoFaturamento == 1 || request.TipoFaturamento == 3) && request.TipoApolice == 2) - Lógica de proteção/desabilitação de campos - Exceção InvalidOperationException quando violada - Logging da validação - Documentação inline da regra - Retorno de erro padronizado;backend_vgfna/04_BUSINESS_LOGIC.md;171-180;OK;NOK;NOK;04_FUNCOES_REGRAS_NEGOCIO_VGFNA.md;411-443
QUERY-0101;QUERY;METOD-0108;METODO;SELECT: V0SUBGRUPO WHERE NUM_APOLICE, COD_SUBGRUPO - Busca dados subgrupo;_LEGADO/vgfna.esf;3060-3072;Migrada de SELECT DB2 COBOL para SubgrupoRepository.GetByApoliceAndSubgrupo() com Dapper no backend .NET Core - Query SQL parametrizada com chave composta - Mapeamento DB2 para SQL Server - Retorno assíncrono (async/await) - Tratamento de exceções - Logging de operações - Connection management via DI - Mapeamento para entidade Subgrupo;backend_vgfna/03_INFRASTRUCTURE_LAYER.md;129-159;OK;NOK;NOK;02_MODELO_DADOS_VGFNA.md;87-90, 247
QUERY-0102;QUERY;METOD-0110;METODO;UPDATE: V0SUBGRUPO SET PERI_FATURAMENTO WHERE chave - Atualiza período faturamento subgrupo;_LEGADO/vgfna.esf;3224-3231;Migrada de UPDATE DB2 COBOL para SubgrupoRepository.Update() com Dapper no backend .NET Core - Query SQL UPDATE parametrizada - Mapeamento DB2 para SQL Server - Transação implícita - Campos de auditoria (DataAlteracao, UsuarioAlteracao) - Retorno assíncrono (async/await) - Tratamento de exceções - Logging de operações;backend_vgfna/03_INFRASTRUCTURE_LAYER.md;161-200;OK;NOK;NOK;02_MODELO_DADOS_VGFNA.md;88-90, 258
QUERY-0103;QUERY;METOD-0111;METODO;SELECT: V0TERMOADESAO WHERE COD_SUBGRUPO, NUM_APOLICE - Busca dados termo adesão;_LEGADO/vgfna.esf;3153-3169;Migrada de SELECT DB2 COBOL para TermoAdesaoRepository.GetByChave() com Dapper no backend .NET Core - Query SQL parametrizada com chave composta - Mapeamento DB2 para SQL Server - Retorno assíncrono (async/await) - Tratamento de exceções - Logging de operações - Connection management via DI - Mapeamento para entidade TermoAdesao;backend_vgfna/03_INFRASTRUCTURE_LAYER.md;300-330;OK;NOK;NOK;02_MODELO_DADOS_VGFNA.md;106-109, 248
QUERY-0104;QUERY;METOD-0112;METODO;UPDATE: V0TERMOADESAO SET COD_AGENCIA_OP, COD_AGENCIA_VEN WHERE COD_SUBGRUPO - Atualiza agências termo adesão;_LEGADO/vgfna.esf;3351-3358;Migrada de UPDATE DB2 COBOL para TermoAdesaoRepository.Update() com Dapper no backend .NET Core - Query SQL UPDATE parametrizada para agências - Mapeamento DB2 para SQL Server - Transação implícita - Campos de auditoria - Retorno assíncrono (async/await) - Tratamento de exceções - Logging de operações;backend_vgfna/03_INFRASTRUCTURE_LAYER.md;351-400;OK;NOK;NOK;02_MODELO_DADOS_VGFNA.md;108-109, 259
QUERY-0105;QUERY;METOD-0105;METODO;SELECT: V0APOLICE WHERE NUM_APOLICE - Busca dados apólice;_LEGADO/vgfna.esf;2994-3020;Migrada de SELECT DB2 COBOL para ApoliceRepository.GetByNumero() com Dapper no backend .NET Core - Query SQL SELECT parametrizada - Mapeamento DB2 para SQL Server - Retorno assíncrono (async/await) - Tratamento de exceções - Logging de operações - Connection management via DI - Mapeamento para entidade Apolice;backend_vgfna/03_INFRASTRUCTURE_LAYER.md;77-94;OK;NOK;NOK;02_MODELO_DADOS_VGFNA.md;125-127, 246
QUERY-0106;QUERY;METOD-0106;METODO;SELECT: V0CLIENTE WHERE COD_CLIENTE - Busca nome cliente;_LEGADO/vgfna.esf;3034-3045;Migrada de SELECT DB2 COBOL para ClienteRepository.GetByCodigo() com Dapper no backend .NET Core - Query SQL SELECT parametrizada - Mapeamento DB2 para SQL Server - Retorno assíncrono (async/await) - Tratamento de exceções - Logging de operações - Connection management via DI - Mapeamento para entidade Cliente;backend_vgfna/03_INFRASTRUCTURE_LAYER.md;200-240;OK;NOK;NOK;02_MODELO_DADOS_VGFNA.md;141-143, 249
QUERY-0107;QUERY;METOD-0113;METODO;SELECT: V1FONTE WHERE FONTE - Busca nome fonte/sucursal;_LEGADO/vgfna.esf;2980-2991;Migrada de SELECT DB2 COBOL para FonteRepository.GetByCodigo() com Dapper no backend .NET Core - Query SQL SELECT parametrizada - Mapeamento DB2 para SQL Server - Retorno assíncrono (async/await) - Tratamento de exceções - Logging de operações - Connection management via DI - Mapeamento para entidade FonteProdutora;backend_vgfna/03_INFRASTRUCTURE_LAYER.md;450-480;OK;NOK;NOK;02_MODELO_DADOS_VGFNA.md;189-191, 252
